starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:31:47 2023	1677857507	0	105	105	104
Fri Mar 03 16:31:43 2023	1677857503	0	105	105	105
Fri Mar 03 16:31:43 2023	1677857503	0	105	105	105
Fri Mar 03 16:31:44 2023	1677857504	0	106	106	105
Fri Mar 03 16:31:42 2023	1677857502	0	106	106	105
Fri Mar 03 16:31:43 2023	1677857503	0	106	106	99
Fri Mar 03 16:31:46 2023	1677857506	0	106	106	106
Fri Mar 03 16:31:46 2023	1677857506	0	107	107	104
Fri Mar 03 16:31:44 2023	1677857504	0	107	107	107
Fri Mar 03 16:31:48 2023	1677857508	0	108	108	102
Fri Mar 03 16:31:43 2023	1677857503	0	108	108	107
Fri Mar 03 16:31:48 2023	1677857508	0	108	108	91
Fri Mar 03 16:31:43 2023	1677857503	0	108	108	108
Fri Mar 03 16:31:42 2023	1677857502	0	108	109	106
Fri Mar 03 16:31:43 2023	1677857503	0	109	109	108
Fri Mar 03 16:31:47 2023	1677857507	0	109	109	109
Fri Mar 03 16:31:42 2023	1677857502	0	109	109	97
Fri Mar 03 16:31:44 2023	1677857504	0	109	109	109
Fri Mar 03 16:31:46 2023	1677857506	0	109	109	109
Fri Mar 03 16:31:44 2023	1677857504	0	109	109	108
Fri Mar 03 16:31:44 2023	1677857504	0	109	109	109
Fri Mar 03 16:31:45 2023	1677857505	0	110	110	109
Fri Mar 03 16:31:46 2023	1677857506	0	110	110	109
Fri Mar 03 16:31:44 2023	1677857504	0	110	110	110
Fri Mar 03 16:31:46 2023	1677857506	0	110	110	110
Fri Mar 03 16:31:42 2023	1677857502	0	110	110	94
Fri Mar 03 16:31:44 2023	1677857504	0	110	111	110
Fri Mar 03 16:31:42 2023	1677857502	0	111	111	109
Fri Mar 03 16:31:48 2023	1677857508	0	111	111	66
Fri Mar 03 16:31:46 2023	1677857506	0	111	111	106
Fri Mar 03 16:31:46 2023	1677857506	0	112	112	111
Fri Mar 03 16:31:45 2023	1677857505	0	112	112	111
Fri Mar 03 16:31:44 2023	1677857504	0	112	112	111
Fri Mar 03 16:31:46 2023	1677857506	0	112	112	112
Fri Mar 03 16:31:47 2023	1677857507	0	112	112	112
Fri Mar 03 16:31:46 2023	1677857506	0	112	112	112
Fri Mar 03 16:31:45 2023	1677857505	0	113	113	112
Fri Mar 03 16:31:45 2023	1677857505	0	113	113	87
Fri Mar 03 16:31:43 2023	1677857503	0	113	113	113
Fri Mar 03 16:31:42 2023	1677857502	0	114	114	113
Fri Mar 03 16:31:47 2023	1677857507	0	114	114	113
Fri Mar 03 16:31:46 2023	1677857506	0	114	114	114
Fri Mar 03 16:31:43 2023	1677857503	0	114	114	114
Fri Mar 03 16:31:46 2023	1677857506	0	114	114	114
Fri Mar 03 16:31:41 2023	1677857501	0	114	114	101
Fri Mar 03 16:31:48 2023	1677857508	0	114	114	114
Fri Mar 03 16:31:48 2023	1677857508	0	114	114	114
Fri Mar 03 16:31:46 2023	1677857506	0	115	115	114
Fri Mar 03 16:31:45 2023	1677857505	0	115	115	114
Fri Mar 03 16:31:42 2023	1677857502	0	115	115	114
Fri Mar 03 16:31:44 2023	1677857504	0	115	115	114
Fri Mar 03 16:31:45 2023	1677857505	0	115	115	114
Fri Mar 03 16:31:43 2023	1677857503	0	115	115	115
Fri Mar 03 16:31:46 2023	1677857506	0	115	115	115
Fri Mar 03 16:31:44 2023	1677857504	0	115	115	114
Fri Mar 03 16:31:46 2023	1677857506	0	116	116	114
Fri Mar 03 16:31:46 2023	1677857506	0	116	116	116
Fri Mar 03 16:31:41 2023	1677857501	0	116	116	116
Fri Mar 03 16:31:45 2023	1677857505	0	117	117	116
Fri Mar 03 16:31:45 2023	1677857505	0	117	117	116
Fri Mar 03 16:31:44 2023	1677857504	0	117	117	116
Fri Mar 03 16:31:46 2023	1677857506	0	117	118	117
Fri Mar 03 16:31:45 2023	1677857505	0	118	118	102
Fri Mar 03 16:31:42 2023	1677857502	1	117	118	117
Fri Mar 03 16:31:48 2023	1677857508	0	118	118	117
Fri Mar 03 16:31:41 2023	1677857501	3	116	118	115
Fri Mar 03 16:31:41 2023	1677857501	5	115	119	114
Fri Mar 03 16:31:41 2023	1677857501	2	117	119	117
Fri Mar 03 16:31:44 2023	1677857504	0	119	119	112
Fri Mar 03 16:31:46 2023	1677857506	0	120	120	119
Fri Mar 03 16:31:46 2023	1677857506	0	120	120	120
Fri Mar 03 16:31:41 2023	1677857501	0	121	121	105
Fri Mar 03 16:31:44 2023	1677857504	0	121	121	113
Fri Mar 03 16:31:48 2023	1677857508	0	121	122	121
Fri Mar 03 16:31:48 2023	1677857508	0	122	122	121
Fri Mar 03 16:31:45 2023	1677857505	0	122	122	122
Fri Mar 03 16:31:44 2023	1677857504	0	122	122	122
Fri Mar 03 16:31:43 2023	1677857503	0	123	123	122
Fri Mar 03 16:31:46 2023	1677857506	0	123	123	122
Fri Mar 03 16:31:45 2023	1677857505	0	123	123	123
Fri Mar 03 16:31:44 2023	1677857504	0	124	124	123
Fri Mar 03 16:31:43 2023	1677857503	0	124	124	117
Fri Mar 03 16:31:47 2023	1677857507	0	124	124	123
