starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:29:55 2023	1677857395	0	71	71	70
Fri Mar 03 16:29:55 2023	1677857395	0	71	71	70
Fri Mar 03 16:29:52 2023	1677857392	0	71	71	71
Fri Mar 03 16:29:51 2023	1677857391	0	71	71	71
Fri Mar 03 16:29:52 2023	1677857392	0	72	72	71
Fri Mar 03 16:29:51 2023	1677857391	0	72	72	71
Fri Mar 03 16:29:55 2023	1677857395	0	72	72	71
Fri Mar 03 16:29:54 2023	1677857394	0	72	72	71
Fri Mar 03 16:29:48 2023	1677857388	0	72	72	71
Fri Mar 03 16:29:52 2023	1677857392	0	72	72	71
Fri Mar 03 16:29:51 2023	1677857391	0	72	72	72
Fri Mar 03 16:29:51 2023	1677857391	0	72	72	72
Fri Mar 03 16:29:50 2023	1677857390	0	72	72	72
Fri Mar 03 16:29:52 2023	1677857392	0	72	72	52
Fri Mar 03 16:29:55 2023	1677857395	0	72	72	72
Fri Mar 03 16:29:52 2023	1677857392	0	73	73	72
Fri Mar 03 16:29:55 2023	1677857395	0	73	73	72
Fri Mar 03 16:29:53 2023	1677857393	0	73	73	73
Fri Mar 03 16:29:54 2023	1677857394	0	73	73	67
Fri Mar 03 16:29:48 2023	1677857388	0	73	73	70
Fri Mar 03 16:29:53 2023	1677857393	0	73	73	70
Fri Mar 03 16:29:52 2023	1677857392	0	73	74	73
Fri Mar 03 16:29:50 2023	1677857390	0	73	74	73
Fri Mar 03 16:29:51 2023	1677857391	0	74	74	73
Fri Mar 03 16:29:51 2023	1677857391	0	74	74	73
Fri Mar 03 16:29:51 2023	1677857391	0	74	74	73
Fri Mar 03 16:29:54 2023	1677857394	0	74	74	72
Fri Mar 03 16:29:48 2023	1677857388	0	74	74	73
Fri Mar 03 16:29:49 2023	1677857389	0	74	74	46
Fri Mar 03 16:29:52 2023	1677857392	0	74	74	74
Fri Mar 03 16:29:49 2023	1677857389	0	74	74	74
Fri Mar 03 16:29:52 2023	1677857392	0	75	75	74
Fri Mar 03 16:29:53 2023	1677857393	0	75	75	74
Fri Mar 03 16:29:52 2023	1677857392	0	75	75	74
Fri Mar 03 16:29:51 2023	1677857391	0	75	75	68
Fri Mar 03 16:29:52 2023	1677857392	0	75	75	75
Fri Mar 03 16:29:52 2023	1677857392	0	75	75	75
Fri Mar 03 16:29:55 2023	1677857395	0	75	75	75
Fri Mar 03 16:29:54 2023	1677857394	0	75	75	67
Fri Mar 03 16:29:54 2023	1677857394	0	75	75	75
Fri Mar 03 16:29:54 2023	1677857394	0	76	76	60
Fri Mar 03 16:29:55 2023	1677857395	0	76	76	75
Fri Mar 03 16:29:52 2023	1677857392	0	76	76	75
Fri Mar 03 16:29:51 2023	1677857391	0	76	76	75
Fri Mar 03 16:29:52 2023	1677857392	0	76	76	75
Fri Mar 03 16:29:49 2023	1677857389	0	76	76	75
Fri Mar 03 16:29:50 2023	1677857390	0	76	76	68
Fri Mar 03 16:29:51 2023	1677857391	0	76	76	76
Fri Mar 03 16:29:55 2023	1677857395	0	76	76	75
Fri Mar 03 16:29:49 2023	1677857389	0	76	76	45
Fri Mar 03 16:29:53 2023	1677857393	0	76	76	46
Fri Mar 03 16:29:52 2023	1677857392	0	76	76	76
Fri Mar 03 16:29:51 2023	1677857391	0	76	76	74
Fri Mar 03 16:29:52 2023	1677857392	0	77	77	76
Fri Mar 03 16:29:50 2023	1677857390	0	77	77	77
Fri Mar 03 16:29:50 2023	1677857390	0	77	77	77
Fri Mar 03 16:29:51 2023	1677857391	0	77	77	76
Fri Mar 03 16:29:51 2023	1677857391	0	77	77	41
Fri Mar 03 16:29:52 2023	1677857392	0	77	77	77
Fri Mar 03 16:29:55 2023	1677857395	0	77	78	77
Fri Mar 03 16:29:55 2023	1677857395	0	78	78	77
Fri Mar 03 16:29:54 2023	1677857394	0	78	78	77
Fri Mar 03 16:29:50 2023	1677857390	0	78	78	77
Fri Mar 03 16:29:52 2023	1677857392	0	78	78	64
Fri Mar 03 16:29:54 2023	1677857394	0	78	78	64
Fri Mar 03 16:29:51 2023	1677857391	0	78	78	77
Fri Mar 03 16:29:50 2023	1677857390	0	78	79	77
Fri Mar 03 16:29:51 2023	1677857391	0	79	79	78
Fri Mar 03 16:29:52 2023	1677857392	0	79	79	78
Fri Mar 03 16:29:52 2023	1677857392	0	79	79	78
Fri Mar 03 16:29:48 2023	1677857388	0	79	79	59
Fri Mar 03 16:29:49 2023	1677857389	0	79	79	78
Fri Mar 03 16:29:55 2023	1677857395	0	79	79	79
Fri Mar 03 16:29:55 2023	1677857395	0	80	80	79
